"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
88,665923,"Ruiz, Esteury",2226,4,0.19,0.143,0.25,0.333,0.264,0.249,0.162,4,21,78.7,6,2248,89.2,89.27,23,47,41,0.09999999999999432,6.33,102,150,105,147,300,314,281,"0.768","-0.768","66.3","7.3",23,13,3,0,0,1,8,34.8,2,8.7,2.42295,0.4964,0.2733,-0.15739,"90.0",141,23.076923076923077,7.6923076923076925,4.3478260869565215,5.85,1.13,0.08,2.18,0.261,1,"-0.872727273",0.235,0.33,"0.872727273",0.028,0.026000000000000023,0.003,0.015,48.9,"38.6",10.2921120977677,-0.4926753216591744,37.25264887885636,0.34782608695652173,39.17298036424439,26.5031846761272
72,676439,"Feduccia, Hunter",638,11.3,0.286,0,0.364,0.286,0.329,0.289,0.206,4,14,84.7,7.9,2110,87.3,87.39,7,31,41,0.10000000000000853,6.32,118,147,124,152,293,325,304,"-0.056","0.056","69.4","7.2",17,11,4,0,0,0,3,17.6,3,17.6,2.31125,0.78437,0.57181,-0.41597,"89.8",161,27.27272727272727,0,0,5.66,-0.95,-0.4,2.59,0.412,0,"0.077777778",0.346,0.24,"-0.077777778",0.08,0.066,0.046,0.04,22.6,"35.4",12.586782165420146,-4.297405721671898,35.295244722121495,0.5666666666666667,36.55997260769363,31.732951305369415
68,656716,"McKinstry, Zach",6386,1.1,0.091,0.273,0,0.364,0.296,0.368,0.234,1,11,89.3,6.6,2161,88.6,88.74,6,25,43,0.10000000000000853,6.15,118,158,123,151,299,324,303,"-0.698","0.698",,,14,7,0,0,0,1,4,28.6,3,21.4,2.28191,0.67029,0.39662,-0.36162,"90.2",153,42.857142857142854,14.285714285714285,7.142857142857142,5.57,-1.25,-0.37,2.27,0.286,1,"1.026470588",0.398,0.425,"-1.026470588",-0.143,-0.11200000000000004,-0.061,-0.072,24,"33.4",,,,,,
65,671083,"Kennedy, Buddy",742,8.8,0.059,0,0.083,0.059,0.089,0.166,0.136,1,17,90.5,17.4,2287,89.6,90.25,5,31,34,0.6000000000000085,6.39,114,153,119,146,303,326,296,"2.412","-2.412","67.3","6.5",18,12,1,0,0,0,5,27.8,0,0,2.19031,0.65338,0.41108,0.04646,"92.7",182,50,0,0,5.89,-0.02,0.07,2.44,0.111,0,"-3.710769231",0.184,0.176,"3.710769231",-0.077,-0.073,-0.117,-0.077,16.1,"40.1",5.395662920155715,-9.05464629404634,35.33635143311278,0.3793103448275862,33.21270744159178,31.069154985424305
62,642851,"Wynns, Austin",1893,3.3,0.182,0.091,0.333,0.273,0.235,0.205,0.162,2,11,83.4,19.7,2325,87.6,87.65,7,26,36,0,6.34,116,153,120,150,305,313,285,"0.606","-0.606",,,12,6,1,1,0,0,5,41.7,1,8.3,2.36823,0.66131,0.22758,-0.05339,"88.8",166,16.666666666666664,0,0,5.87,-0.2,0.24,2.49,0.25,0,"-0.977419355",0.232,0.207,"0.977419355",0.02,0.017999999999999988,0.066,0.03,26.9,"42.9",,,,,,
57,669289,"Espinal, Santiago",5782,1,0.154,0.077,0.182,0.231,0.169,0.268,0.264,2,13,88.6,-3.1,2090,85.4,85.45,3,29,28,0.09999999999999432,6.2,101,148,113,147,299,322,291,"2.059","-2.059","67.4","7.7",14,12,1,1,0,0,2,14.3,0,0,2.88947,0.61053,0.36789,-0.17842,"91.6",138,50,0,0,5.72,0.85,0.16,2.23,0.154,0,"-3.612280702",0.264,0.361,"3.612280702",-0.11,-0.11000000000000001,-0.13,-0.099,10.3,"37.3",9.812711278303668,-1.156052879847457,33.609612884704575,0.6071428571428571,37.120026790483394,33.205500055790296
45,607680,"Pillar, Kevin",2161,2.1,0.083,0.083,0.125,0.167,0.15,0.277,0.189,1,12,88.3,10.5,2220,87.1,87,8,23,22,-0.09999999999999432,6.23,102,153,116,148,307,325,300,"1.823","-1.823",,,13,8,0,1,0,0,4,30.8,1,7.7,2.62,0.43689,0.32111,0.20911,"92.8",120,25,12.5,7.6923076923076925,5.92,-0.43,0.53,2.11,0.154,1,"-4.051111111",0.251,0.385,"4.051111111",-0.106,-0.097,-0.218,-0.127,34.8,"43.9",,,,,,
37,663897,"Williams, Luke",899,4.1,0.1,0,0.143,0.1,0.088,0.054,0.057,1,10,82.4,2,2263,87.2,87.27,8,20,17,0.09999999999999432,6.32,109,153,107,149,304,318,288,"2.084","-2.084",,,10,7,1,0,0,0,3,30,0,0,2.42541,0.62919,0.23676,0.09784,"90.1",121,14.285714285714285,0,0,5.97,-0.87,0.37,2.07,0.1,0,"-5.632432432",0.057,0.062,"5.632432432",0.043,0.043000000000000003,0.038,0.034,40,"44.7",,,,,,
27,666211,"Trammell, Taylor",1327,2,0,0,0,0,0,0.047,0.049,0,6,74.6,44,1967,90.4,91.31,4,14,13,0.8999999999999915,6.77,108,145,113,152,291,321,302,"1.57","-1.57","73.6","7.1",6,3,0,0,0,0,3,50,0,0,1.79778,1.00333,0.61481,-0.61481,"88.0",128,0,0,0,5.73,-2.42,0.12,2.77,0,0,"-5.814814815",0.049,0.058,"5.814814815",-0.049,-0.049,-0.058,-0.047,28.6,"37.7",-1.437157675272669,8.500435813556319,28.991189903338945,0.3076923076923077,34.051797834831525,21.25851619045559
26,545350,"Marisnick, Jake",613,4.2,0.4,0,0.4,0.4,0.415,0.446,0.382,2,5,81.7,38.4,2264,87,86.71,1,11,15,-0.29999999999999716,6.12,112,153,111,149,301,325,297,"-0.17","0.17","68.9","7.5",6,5,2,0,0,0,0,0,0,0,2.565,0.47269,0.215,0.13192,"89.8",165,20,0,0,5.74,0.15,-0.05,2.07,0.5,0,"0.653846154",0.485,0.523,"-0.653846154",0.018,0.015000000000000013,-0.123,-0.031,9.1,"34.3",9.254491225664735,-4.019572931515137,36.60526645852922,0.45454545454545453,38.502386284871015,29.52678432508732
15,547172,"Wolters, Tony",15,100,0,0,0,0,0,0.007,0.005,0,4,87.1,34,2334,88.7,89.27,3,9,6,0.5999999999999943,6.45,122,165,111,153,293,325,306,"0.996","-0.996",,,4,1,0,0,0,0,3,75,0,0,2.39867,0.516,0.136,-0.136,"89.0",104,0,0,0,5.4,-1.91,0.16,2.39,0,0,"-6.64",0.005,0.011,"6.64",-0.005,-0.005,-0.011,-0.007,33.3,"30.8",,,,,,
11,681909,"Dean, Justin",11,100,0,0,0,0,0,0.029,0.032,0,2,80.4,-39,2583,94,93.96,3,5,6,0,6.2,105,152,119,150,296,307,275,"0.524","-0.524","63.7","6.8",2,1,0,0,0,0,1,50,0,0,2.01,0.57455,0.50364,0.50364,"88.0",3,0,0,0,6.02,-1.56,0.56,1.72,0,0,"-4.763636364",0.032,0.032,"4.763636364",-0.032,-0.032,-0.032,-0.029,60,"40.6",21.52291778151911,-2.0152606628045886,36.13978401056274,0.2,37.205610870048424,33.20954421144881
9,592696,"Rosario, Eddie",4138,0.2,0.25,0,0.25,0.25,0.221,0.609,0.422,1,4,99.8,25,2436,91.5,92.24,0,5,4,0.7000000000000028,6.87,122,148,100,154,298,331,291,"0.399","-0.399","70.0","6.8",4,4,1,0,0,0,0,0,0,0,1.93778,0.85556,0.19556,-0.19556,"97.8",310,100,25,25,5.37,-1.79,-0.24,2.4,0.25,1,"-4.433333333",0.422,1.039,"4.433333333",-0.172,-0.172,-0.789,-0.388,0,"29.7",10.268208759020212,8.934204852216782,27.871179860410344,0.4,39.51412071366828,22.464316015492596
5,542881,"Anderson, Tyler",5,100,0,0,,0,0,0,,0,1,,,1590,57.9,56.3,2,3,2,-1.6000000000000014,4.66,128,153,130,155,292,318,311,"0.259","-0.259",,,1,0,0,0,0,0,1,100,0,0,5.604,1.272,1.094,-1.094,"88.0",4,,,,5.95,-2.04,-0.74,2.61,0,,"-5.18",,,"5.18",,,,0,66.7,"28.9",,,,,,
5,623465,"Phillips, Evan",5,100,,,,,0.689,0.689,,0,0,,,2493,92.9,91.26,0,0,5,-1.6000000000000085,5.78,117,149,127,152,289,296,265,"-0.271","0.271",,,1,0,0,0,0,0,0,0,1,100,1.072,1.618,0.92,-0.92,,,,,,6.24,1.43,-0.17,3.39,1,,"5.42",1,,"-5.42",,0,,0,,"45.4",,,,,,
4,642020,"Robinson, Chuckie",507,0.8,0,0,0,0,0,0.186,0.202,0,1,34.5,-28.5,1955,83.5,83.5,0,3,1,0,6.1,82,129,89,142,296,319,287,"0.094","-0.094","15.7","1.5",2,2,0,0,0,0,0,0,0,0,3.2625,0.0725,-0.0625,0.0625,"88.0",5,0,0,0,5.6,2.3,-0.01,2.57,0,0,"-2.35",0.202,0.202,"2.35",-0.202,-0.202,-0.202,-0.186,0,"33.7",-16.16366136006269,-93.55837716879917,49.391276521849264,0,33.75383863977193,18.879770562911396
3,571946,"Miller, Shelby",3,100,0,0,0,0,0,0.033,0.037,0,1,71.5,-11,1266,52.9,50.43,0,1,2,-2.5,3.97,118,149,118,146,294,326,293,"0.267","-0.267",,,1,1,0,0,0,0,0,0,0,0,6.72,1.65,-0.15333,-0.15333,"88.0",18,0,0,0,7.19,-1.46,-0.45,3.9,0,0,"-8.9",0.037,0.037,"8.9",-0.037,-0.037,-0.037,-0.033,0,"51.5",,,,,,
