"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2576,542881,"Anderson, Tyler",10285,25,0.221,0.129,0.257,0.35,0.271,0.281,0.226,145,657,84.5,16.4,2150,85.6,85.35,330,1358,1218,-0.29999999999999716,6.1,108,154,117,147,301,314,289,"21.553","-21.553",,,707,526,94,31,6,14,138,19.5,34,4.8,2.12621,1.01783,0.64234,-0.48645,"90.8",155,29.013539651837522,5.029013539651837,3.6775106082036775,6.01,1.92,0.08,2.31,0.267,26,"-0.836684783",0.273,0.368,"0.836684783",-0.005,-0.006000000000000005,-0.018,-0.01,24.3,"45.0",,,,,,
2445,675627,"Grove, Michael",2449,99.8,0.271,0.184,0.325,0.455,0.339,0.317,0.242,161,594,89.3,12.8,2338,88.5,89.31,309,1188,1257,0.7999999999999972,6.72,112,151,120,150,298,317,294,"-18.57","18.57","69.2","7.4",651,445,105,27,5,24,151,23.2,45,6.9,2.54647,0.3989,-0.05766,0.02549,"92.1",150,39.954853273137694,8.577878103837472,5.837173579109063,6.01,-1.12,0.33,2.07,0.331,38,"0.759509202",0.305,0.421,"-0.759509202",0.029,0.026000000000000023,0.034,0.022,26,"53.2",11.902780003655876,-5.867274528225082,32.85142548366486,0.49,37.08753707826254,33.9952986653059
2435,686218,"Sheehan, Emmet",2436,100,0.204,0.179,0.249,0.383,0.289,0.288,0.202,111,543,89.3,19.2,2209,90.6,91.24,384,1228,1207,0.6000000000000085,6.64,112,150,121,151,298,318,295,"9.647","-9.647","69.5","7.2",604,380,61,25,3,22,167,27.6,54,8.9,2.0183,0.79223,0.52813,-0.16866,"91.7",177,41.8421052631579,10.526315789473683,6.622516556291391,5.43,-1.24,0.2,2.57,0.278,40,"-0.396180698",0.278,0.378,"0.396180698",0.002,0,0.005,0.001,31.3,"32.4",9.919043569737564,-4.318779618899236,30.913720499219725,0.5112414467253177,36.9177311328129,31.885518939705705
2382,621111,"Buehler, Walker",4862,49,0.277,0.187,0.315,0.464,0.347,0.331,0.258,156,563,87.7,9.1,2348,89.7,90.13,247,1127,1255,0.3999999999999915,6.51,112,152,122,150,297,316,295,"-31.677","31.677","69.1","7.0",618,443,102,27,3,24,122,19.7,45,7.3,2.33475,0.5463,-0.04404,-0.02146,"92.0",154,39.95433789954338,6.8493150684931505,4.854368932038835,5.54,-1.08,0.22,2.32,0.337,30,"1.329848866",0.321,0.434,"-1.329848866",0.019,0.016000000000000014,0.03,0.016,21.9,"45.5",7.553574343259814,1.0244451015416467,32.91789731399081,0.4370748299319728,35.42180101485647,28.871699769799264
1922,689017,"Knack, Landon",1922,100,0.23,0.221,0.252,0.451,0.322,0.332,0.239,98,426,91,19.7,2393,88.1,87.44,198,881,1041,-0.6999999999999886,5.88,114,150,125,151,296,316,296,"-7.453","7.453","70.3","7.2",471,318,55,16,3,24,111,23.6,37,7.9,2.20531,0.76769,0.31048,-0.14032,"92.1",178,45.911949685534594,12.264150943396226,8.280254777070063,5.79,-0.92,0.06,2.5,0.297,39,"0.387773153",0.306,0.464,"-0.387773153",-0.009,-0.009000000000000008,-0.013,-0.01,22.5,"53.5",10.3990219341435,-2.494880028103454,30.59598037575292,0.5407925407925408,37.525787661410476,30.137685036667158
1912,680736,"Wrobleski, Justin",1918,99.7,0.238,0.153,0.279,0.391,0.303,0.321,0.257,107,450,89.8,11.6,2335,91.3,90.02,212,936,976,-1.2999999999999972,5.43,109,152,121,149,299,318,292,"7.014","-7.014","69.3","6.9",497,347,68,24,0,15,108,21.7,38,7.6,2.06741,0.68898,0.29268,-0.09907,"92.0",163,42.19653179190752,6.358381502890173,4.426559356136821,5.55,2.14,-0.04,2.56,0.301,22,"-0.366841004",0.319,0.416,"0.366841004",-0.019,-0.018000000000000016,-0.025,-0.018,22.6,"37.9",4.830908556981822,5.275843676771521,31.78327146046382,0.42572062084257206,35.68935315170088,25.554539886514583
1839,607455,"Banda, Anthony",2765,66.5,0.215,0.138,0.258,0.353,0.283,0.291,0.216,89,414,88.2,12.3,2196,91.4,91.28,259,912,927,-0.10000000000000853,6.24,110,150,121,149,295,315,293,"15.385","-15.385","68.6","7.1",478,310,60,14,2,13,111,23.2,53,11.1,2.25423,0.50486,0.40804,-0.12343,"91.7",156,38.70967741935484,7.741935483870968,5.02092050209205,5.48,2.56,-0.15,2.37,0.307,24,"-0.836595976",0.31,0.361,"0.836595976",-0.001,-0.0030000000000000027,-0.008,-0.008,28.4,"34.5",8.8172939300435,-0.7285386269660732,31.34675457587834,0.47619047619047616,36.41731352812049,29.645067383696325
1771,641360,"Bickford, Phil",2392,74,0.234,0.198,0.282,0.432,0.316,0.314,0.225,91,389,88.4,18.8,2344,90.7,91.76,237,883,888,1.0999999999999943,6.86,113,152,121,148,300,318,293,"-2.744","2.744","67.4","6.7",437,280,49,24,1,17,115,26.3,40,9.2,1.85364,0.94215,0.12549,0.00959,"91.5",175,40.07220216606498,11.552346570397113,7.322654462242563,5.1,-2.45,0.24,2.59,0.305,32,"0.154940711",0.3,0.429,"-0.154940711",0.009,0.0050000000000000044,0.003,0.002,26.8,"29.1",4.81986526754069,7.30057450325821,31.93808723225912,0.3815789473684211,37.01778055709988,25.568237520460745
1705,660813,"Graterol, Brusdar",1712,99.6,0.213,0.083,0.256,0.296,0.243,0.264,0.229,95,446,85.8,1.1,2197,96,95.25,172,904,801,-0.7000000000000028,5.75,114,151,121,151,299,318,294,"29.532","-29.532","68.1","6.7",480,353,72,15,2,6,98,20.4,23,4.8,1.89249,0.58837,0.58883,0.36894,"91.0",128,29.714285714285715,4.285714285714286,3.125,6.22,-1.52,0.12,2.56,0.257,15,"-1.732082111",0.274,0.322,"1.732082111",-0.016,-0.017000000000000015,-0.026,-0.021,19,"36.5",3.8874485633454334,9.677082012064055,32.319782347584294,0.401673640167364,34.64611316347527,23.554784157348617
1699,642232,"Yarbrough, Ryan",5447,31.2,0.239,0.162,0.256,0.4,0.306,0.323,0.247,96,402,84.8,15.9,1965,80.6,80.7,190,834,865,0.10000000000000853,6.38,113,151,122,150,295,312,289,"1.38","-1.38","68.9","7.2",446,330,65,14,0,17,77,17.3,30,6.7,3.03461,0.55889,0.35968,-0.29708,"91.1",158,29.78723404255319,7.598784194528875,5.605381165919283,5.09,3.19,-0.01,2.49,0.305,25,"-0.08122425",0.314,0.429,"0.08122425",-0.008,-0.009000000000000008,-0.029,-0.017,22.8,"15.5",10.213359398343576,-4.7028569337209785,32.63029051162656,0.4360056258790436,36.98081447294187,33.13094049280414
